collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,source_url,notes
Advertising & E-commerce,Advertising & E-commerce,MKT-08,Food delivery,App campaign key visual (no text),2048*2048,true,true,"text, title, letters, words, logo, watermark, fake UI text, distorted phone, low quality","Create a bright app marketing key visual for a fictional food delivery service. Show a realistic smartphone mockup with a completely blank white app screen, colorful bowls of noodles, salad, and juice arranged around it, top-down commercial composition, energetic but realistic food photography, clean negative space for later design overlay. Absolutely no text, no letters, no logos, no icons, no UI labels.",,,,rerun production no-text
Advertising & E-commerce,Advertising & E-commerce,MKT-12,Consumer electronics,Arabic electronics campaign blank title,2048*2048,true,true,"Arabic text, fake letters, title, logo, watermark, unreadable text, distorted product, low quality","Create a premium ecommerce campaign visual for a fictional compact wireless speaker. Show a matte black speaker on a warm desert-inspired beige background with subtle abstract sound waves and a clean blank headline area at the top for later Arabic typography. Photorealistic product lighting, polished commercial composition. No text, no letters, no logos, no symbols.",,,,rerun production blank typography layer
Advertising & E-commerce,Advertising & E-commerce,MKT-14,Social commerce,UGC lifestyle ad frame (no text),2048*2048,true,true,"text, captions, letters, logo, watermark, unreadable text, extra fingers, distorted mug, low quality","Create a realistic user-generated-content style ecommerce ad frame for a fictional insulated travel mug. A young adult hand holds the mug near a train station cafe table, natural candid lighting, authentic lifestyle photography, shallow depth of field, realistic hand anatomy, clean mug surface. No text, no captions, no logos, no labels, no watermark.",,,,rerun no unwanted text
Film & TV,Film & TV,FTV-05,Japanese sports anime,Basketball anime team key visual blank title,2368*1728,true,true,"Japanese text, title, subtitle, logo, copied known anime, bad ball anatomy, warped court lines, low quality","Create an original Japanese sports anime key visual for a high school basketball series, not any existing franchise. Five teen players sprint across an indoor court, dynamic perspective, clean cel animation, sharp jersey silhouettes, dramatic arena lights, strong sports energy. Leave clean empty space at the top for later Japanese title design. No text, no letters, no logos.",,,,rerun blank title area
Film & TV,Film & TV,FTV-11,Middle Eastern historical drama,Arabic historical palace poster blank title,1536*2688,true,true,"Arabic text, fake calligraphy, title, subtitle, logo, copied actor, orientalist clich?, low quality","Create a vertical poster for a Middle Eastern historical court drama. An Arab scholar and a royal guard stand in a moonlit palace archive with brass lamps, geometric screens, parchment maps, and political intrigue mood. Rich but respectful production design. Leave a clean blank title area at the top for later Arabic typography. No text, no letters, no logos.",,,,rerun blank typography layer
Film & TV,Film & TV,FTV-15,Turkish dizi,Historic waterfront romance key art blank title,1536*2688,true,true,"Turkish text, title, subtitle, logo, copied actor, tourist postcard look, low quality","Create a vertical key art poster for a Turkish dizi romance set on the Bosphorus. A Turkish architect and a widowed restaurant owner stand on opposite sides of a ferry deck at golden hour, Istanbul skyline in the distance, emotional restraint, elegant wardrobe, premium serialized drama tone. Leave clean empty title space. No text, no letters, no logos.",,,,rerun blank title area
Film & TV,Film & TV,FTV-18,Thai BL drama,University romance character poster blank title,1536*2688,true,true,"Thai text, title, subtitle, logo, copied actor, plastic skin, low quality","Create a vertical character poster for a Thai university romance drama. Two Thai male students stand under a campus rain tree, one holding a sketchbook and one carrying a guitar case, gentle emotional tension, soft Bangkok afternoon light, tasteful wardrobe, streaming romance polish. Leave a clean blank area for later Thai title design. No text, no letters, no logos.",,,,rerun blank title area
Film & TV,Film & TV,FTV-26,Mexican supernatural mystery,Day of the Dead mystery poster blank title,1536*2688,true,true,"Spanish text, title, subtitle, logo, skull overload, stereotype, copied actor, low quality","Create a vertical poster for a Mexican supernatural mystery series. A Mexican forensic photographer stands in a quiet cemetery during Dia de Muertos dawn, marigold paths, family candles, faint ghostly silhouette in the background, elegant mystery tone, respectful cultural detail. Leave a clean blank title area for later Spanish typography. No text, no letters, no logos.",,,,rerun blank title area
Film & TV,Film & TV,FTV-31,Arab Gulf luxury drama,Dubai corporate family poster blank title,1536*2688,true,true,"Arabic text, fake calligraphy, title, subtitle, logo, excessive luxury clich?, copied celebrity, low quality","Create a vertical poster for an Arab Gulf corporate family drama. A Gulf Arab businesswoman in elegant modern modest fashion stands in a glass boardroom overlooking Dubai at sunset, two rival relatives reflected behind her, premium family power struggle tone. Leave a clean blank title area for later Arabic typography. No text, no letters, no logos.",,,,rerun blank title area
Education,Education,STEM-08,Biology,Photosynthesis process blank labels,2048*2048,true,true,"text, letters, misspelled labels, wrong arrows, unreadable labels, low quality, distorted plant anatomy","Create a biology textbook illustration explaining photosynthesis in a plant leaf for later annotation. Show sunlight reaching the leaf, water moving up from roots, carbon dioxide entering, oxygen leaving, glucose production represented by simple blank icon shapes, chloroplast detail inset, and clean arrow flow. Use blank callout boxes only. No text, no letters, no labels, no chemical formulas.",,,,rerun blank labels for production overlay
Education,Education,STEM-09,Biology,DNA replication blank labels,2048*2048,true,true,"text, letters, misspelled labels, wrong enzyme names, unreadable labels, low quality, distorted DNA","Create a professional biology education illustration showing DNA replication for later annotation. Show a double helix opening at the replication fork, enzyme-like protein shapes, leading strand, lagging strand, short fragment segments, primers, and new complementary strands using clear arrows and blank callout boxes. No text, no letters, no labels, no words.",,,,rerun blank labels for production overlay
