collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,source_url,notes
Film & TV,Film & TV,FTV-45,Polish crime drama,Warsaw winter crime still,2368*1728,true,true,"low quality, fake police text, unreadable signage, copied actor, distorted face","Create a realistic production still for a Polish crime drama in winter Warsaw. A weary female detective and a young tech analyst stand beside a frozen tram stop after midnight, sodium streetlights, breath vapor, practical coats, quiet tension, documentary realism, no readable signage, no logos.",,,https://senalnews.com/en/data/global-production-americas-and-emea-lean-towards-prestige-ip-and-factual/amp,"Eastern European crime realism."
Film & TV,Film & TV,FTV-46,Italian family saga,Sicilian family dinner blocking,2368*1728,true,true,"low quality, mafia cliché, copied actors, fake text, distorted hands, overdramatic stereotype","Create a cinematic blocking reference for an Italian family saga set in Sicily. A multigenerational family sits around a long outdoor dinner table under lemon trees, unresolved inheritance tension, linen tablecloth, practical sunset light, grounded performances, no weapons, no readable text, no logos.",,,https://www.cinegeist.com/,"Family ensemble blocking without gangster cliché."
Film & TV,Film & TV,FTV-47,Greek island mystery,Island harbor suspect board poster,1536*2688,true,true,"low quality, tourist brochure, fake Greek, extra text, copied actor, distorted boats","Create a vertical poster for a Greek island mystery series. A Greek coast guard investigator stands on a quiet harbor pier at blue hour, fishing boats behind her, one distant villa lit on a cliff, elegant Mediterranean noir mood. Include exactly one Greek title: Σκιές στο Νησί. No subtitle, no logos, no extra text.",,,https://www.keyartanddesign.com/,"Greek title and Mediterranean noir poster."
Film & TV,Film & TV,FTV-48,Portuguese music drama,Fado club production still,2368*1728,true,true,"low quality, fake Portuguese signage, copied singer, distorted guitar, stage cliché, extra text","Create a realistic production still for a Portuguese music drama inside a small Lisbon fado club. An older singer, a young Cape Verdean guitarist, and a quiet audience share a suspended emotional moment, warm low light, tiled walls, lived-in details, no readable posters, no logos.",,,https://www.cinegeist.com/,"Music drama still and Lusophone casting."
Film & TV,Film & TV,FTV-49,Dutch teen sci-fi,Canal house lab set design,2368*1728,true,true,"low quality, copied sci-fi, fake Dutch text, messy lab, distorted architecture, logo","Create a set design frame for a Dutch teen sci-fi series. Inside an Amsterdam canal house attic, three teenagers assemble a clean-energy prototype from bicycles, glass tubes, and salvaged electronics. Rainy canal visible through window, grounded playful science, realistic props, no readable text, no logos.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Youth sci-fi production design."
Film & TV,Film & TV,FTV-50,Sami arctic drama,Reindeer migration night scene,2368*1728,true,true,"low quality, stereotype, fake symbols, costume misuse, extra text, distorted animals","Create a respectful cinematic still for a contemporary Sámi Arctic drama. A young Sámi herder checks a GPS collar during reindeer migration under northern lights, snowmobile tracks, practical winter gear, family member waiting near a small fire, natural cold light, no text, no logos.",,,https://www.cinegeist.com/,"Indigenous Arctic contemporary drama."
Film & TV,Film & TV,FTV-51,Inuit survival thriller,Arctic research station key frame,2368*1728,true,true,"low quality, stereotype, monster cliché, fake labels, distorted snow gear, text","Create a realistic key frame for an Inuit-led Arctic survival thriller. An Inuit climatologist and a rescue pilot inspect a damaged research station door during a whiteout, practical parkas, frost on goggles, tense but grounded atmosphere, no readable labels, no logos.",,,https://www.cinegeist.com/,"Arctic thriller with practical survival realism."
Film & TV,Film & TV,FTV-52,Quebec comedy,Winter apartment ensemble thumbnail,1536*2688,true,true,"low quality, fake French, extra text, stock photo look, distorted faces","Create a vertical streaming thumbnail for a Quebec ensemble comedy. Four neighbors from different backgrounds share a cramped snowy Montreal apartment hallway during a power outage, awkward warmth, winter coats, candles, dry humor, natural photography. Include exactly one French title: Le Palier. No other text or logos.",,,https://www.keyartanddesign.com/,"Quebec French title and comedy ensemble."
Film & TV,Film & TV,FTV-53,Argentine tango noir,Buenos Aires dance hall poster,1536*2688,true,true,"low quality, fake Spanish, copied actor, tango stereotype, extra text, distorted hands","Create a vertical poster for an Argentine tango noir series. A retired dancer and a young prosecutor face each other in an empty Buenos Aires dance hall, polished wooden floor, smoky window light, mystery tone, elegant wardrobe. Include exactly one Spanish title: La Última Milonga. No subtitle, no logos, no extra text.",,,https://time.com/6075019/the-house-of-flowers-telenovela/,"Argentine noir poster and Spanish title."
Film & TV,Film & TV,FTV-54,Chile mining drama,Atacama rescue operations board,2048*2048,true,true,"low quality, fake labels, sensationalism, unreadable text, distorted helmets, messy board","Create a production operations board for a Chilean mining rescue drama. Six realistic tiles: Atacama desert exterior, mine elevator, rescue engineer close-up, family waiting tent, dusty control room, sunrise over drilling rig. Warm desert palette, blank separators only, no labels, no readable text, no logos.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Disaster-drama production board."
Film & TV,Film & TV,FTV-55,Peruvian Andes magical realism,Mountain village key art,1536*2688,true,true,"low quality, stereotype, fake Quechua, extra text, copied actor, fantasy cliché","Create a vertical key art poster for a Peruvian Andes magical realism series. A Quechua teenage girl stands on a mountain path at dawn as woven ribbons float gently toward a cloud-shaped condor silhouette, realistic village details, respectful wardrobe, poetic mood. No readable text, no logos.",,,https://www.cinegeist.com/,"Magical realism poster without exact text."
Film & TV,Film & TV,FTV-56,Colombian newsroom drama,Bogota investigative newsroom still,2368*1728,true,true,"low quality, narco cliché, fake newspaper text, copied actor, unreadable monitors, sensationalism","Create a realistic production still for a Colombian investigative newsroom drama in Bogotá. Afro-Colombian editor, young reporter, and Indigenous photographer review blank documents on a cluttered desk, rainy city windows, moral pressure, no readable text, no logos.",,,https://www.cinegeist.com/,"Colombian drama without crime glamorization."
Film & TV,Film & TV,FTV-57,Cuban music period drama,Havana recording studio still,2368*1728,true,true,"low quality, tourist cliché, copied musician, fake posters, distorted instruments, extra text","Create a cinematic still for a Cuban 1950s music period drama in a Havana recording studio. Afro-Cuban singer, trumpet player, sound engineer, vintage microphone, warm tungsten light, worn acoustic panels, cigarette haze, historically inspired wardrobe, no readable posters, no logos.",,,https://www.cinegeist.com/,"Music period drama production still."
Film & TV,Film & TV,FTV-58,Jamaican dancehall drama,Kingston street dance key frame,2368*1728,true,true,"low quality, stereotype, fake graffiti text, copied artist, distorted dancers, extra text","Create a respectful cinematic key frame for a Jamaican dancehall drama. A young choreographer leads rehearsal in a Kingston courtyard after rain, dancers of varied ages watching, sound system speakers with blank surfaces, vibrant but realistic color, no readable graffiti, no logos.",,,https://www.keyartanddesign.com/,"Dance drama movement and community setting."
Film & TV,Film & TV,FTV-59,Pacific island climate drama,Storm evacuation ensemble still,2368*1728,true,true,"low quality, disaster cliché, fake signage, stereotype, distorted water, text","Create a realistic ensemble still for a Pacific island climate drama. A Polynesian family and local nurse prepare a community hall for storm evacuation, woven mats, medical supplies, children helping, tropical rain outside, dignity and urgency, no readable signs, no logos.",,,https://www.cinegeist.com/,"Climate drama ensemble realism."
Film & TV,Film & TV,FTV-60,Vietnamese period drama,Imperial court costume sheet,2048*2048,true,true,"low quality, fake labels, title text, annotation boxes, copied costume, distorted fabric, extra text, messy layout, words, letters","Create a costume design sheet for a Vietnamese imperial court drama. Arrange eight production studies: embroidered áo dài sleeve, royal hat silhouette, lacquer fan, silk sash, jade earring, ceremonial boot, patterned robe panel, hairpin. Elegant historical inspiration, clean spacing on a plain neutral background. Absolutely no title, no labels, no annotation boxes, no words, no letters.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Vietnamese period costume material board."
Film & TV,Film & TV,FTV-61,Malaysian food drama,Night market cooking still,2368*1728,true,true,"low quality, fake Malay signs, food distortion, copied actor, text, greasy stock photo","Create a realistic production still for a Malaysian family food drama at a night market in Penang. Malay grandmother teaches her Chinese Malaysian and Indian Malaysian grandchildren to prepare noodles, steam, neon reflections, crowded but believable stalls with blank signs, no readable text, no logos.",,,https://www.cinegeist.com/,"Multiethnic Malaysian food drama."
Film & TV,Film & TV,FTV-62,Singapore legal thriller,Court corridor character poster,1536*2688,true,true,"low quality, fake legal text, copied actor, extra text, distorted architecture","Create a vertical character poster for a Singapore legal thriller. A Singaporean public defender stands in a courthouse corridor between glass walls, diverse clients reflected behind her, humid city light, precise professional wardrobe, premium thriller tone. Include exactly one English title: Reasonable Doubt. No other text, no logos.",,,https://www.keyartanddesign.com/,"Singapore legal poster."
Film & TV,Film & TV,FTV-63,Hong Kong police thriller,Neon alley chase storyboard,2368*1728,true,true,"low quality, fake Chinese signs, copied movie, distorted faces, messy panels, extra text","Create a 6-panel storyboard sheet for an original Hong Kong police thriller. Same detective chases a suspect through wet neon alleys, market shutters, footbridge, stairwell, ferry pier, rooftop. Strong camera angles, motion clarity, blank panel borders only, no captions, no readable signs, no logos.",,,https://morphic.com/resources/how-to/create-cinematic-storyboard,"Action storyboard and continuity."
Film & TV,Film & TV,FTV-64,Taiwan family drama,Apartment balcony relationship poster,1536*2688,true,true,"low quality, fake Chinese, copied celebrity, extra text, plastic skin","Create a vertical poster for a Taiwanese family drama. Three siblings stand on different balconies of an old Taipei apartment block at sunset, mother watching from a kitchen window, emotional distance, soft realism. Include exactly one Traditional Chinese title: 巷口的晚風. No subtitle, no logos, no extra text.",,,https://www.keyartanddesign.com/,"Traditional Chinese title and family poster."
Film & TV,Film & TV,FTV-65,Mongolian frontier drama,Steppe horse camp key frame,2368*1728,true,true,"low quality, stereotype, fake symbols, copied western, distorted horses, text","Create a cinematic key frame for a Mongolian frontier family drama. A young horse trainer and her grandfather repair a saddle beside a ger at dawn, vast steppe, practical clothing, horses grazing, quiet emotional realism, no text, no logos.",,,https://www.cinegeist.com/,"Mongolian steppe family drama."
Film & TV,Film & TV,FTV-66,Kazakh road movie,Desert highway car interior still,2368*1728,true,true,"low quality, fake road signs, copied actor, distorted car, text, tourist postcard","Create a production still for a Kazakh road movie. Two sisters sit in an old sedan parked beside a vast desert highway at sunset, one holding a paper map with no readable marks, distant mountains, dusty windshield, understated emotion, no text, no logos.",,,https://www.cinegeist.com/,"Central Asian road movie mood."
Film & TV,Film & TV,FTV-67,Uzbek silk road historical,Market set extension frame,2368*1728,true,true,"low quality, orientalist cliché, fake Arabic text, copied film, distorted architecture, extra text","Create a production concept frame for an Uzbek Silk Road historical drama. Practical foreground market set with merchants, ceramics, textiles, bread ovens, and a digital set extension of Samarkand-inspired architecture in the distance. Warm dust light, respectful historical detail, no readable text, no logos.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Central Asian historical set extension."
Film & TV,Film & TV,FTV-68,Pakistani social drama,Lahore wedding family still,2368*1728,true,true,"low quality, stereotype, fake Urdu text, copied actor, overdecorated, extra text","Create a realistic production still for a Pakistani social drama during a Lahore wedding. Bride's sister and groom's mother exchange a tense glance in a decorated courtyard, family members in background, elegant shalwar kameez, warm fairy lights, natural acting, no readable banners, no logos.",,,https://www.cinegeist.com/,"Pakistani family drama."
Film & TV,Film & TV,FTV-69,Bangladeshi river drama,Monsoon ferry ensemble still,2368*1728,true,true,"low quality, disaster cliché, fake Bengali text, distorted boat, stereotype, logo","Create a cinematic still for a Bangladeshi river drama during monsoon season. A ferry captain, garment worker, student, and grandmother wait under tarps on a crowded river ferry, grey sky, wet fabric, humanistic tone, no readable signs, no logos.",,,https://www.cinegeist.com/,"Bangladesh river setting and ensemble."
Film & TV,Film & TV,FTV-70,Ethiopian historical drama,Highland palace council scene,2368*1728,true,true,"low quality, stereotype, fake script, copied costume, distorted faces, extra text","Create a production still for an Ethiopian historical drama in a highland palace council chamber. Noblewoman advisor, young ruler, and veteran general discuss a map with no readable markings, woven textiles, carved wood, warm window light, respectful historical inspiration, no text, no logos.",,,https://www.cinegeist.com/,"East African historical drama."
Film & TV,Film & TV,FTV-71,Moroccan noir,Casablanca rooftop thriller still,2368*1728,true,true,"low quality, orientalist cliché, fake Arabic/French signs, copied actor, extra text","Create a realistic production still for a Moroccan noir thriller in Casablanca. A Moroccan private investigator meets a French-Moroccan journalist on a rooftop overlooking white apartment blocks at dusk, Atlantic haze, restrained costumes, tense conversation, no readable signs, no logos.",,,https://www.cinegeist.com/,"North African noir."
