collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,tags
Education,Education,HUM-03,English,Beginner dialogue,2048*2048,true,true,"misspelled words, gibberish text, extra text, pseudo text, cropped speech bubble, malformed letters, watermark, logo, distorted hands, distorted face","Create a clean English beginner textbook illustration with two middle-school students greeting each other in a school library. Use friendly watercolor textbook style. Include exactly two large speech bubbles with crisp readable English text. Left bubble exact text: A: Hi, how are you? Right bubble exact text: B: I am fine, thank you. No other text anywhere in the image. Text must be spelled exactly and clearly.",,,Education; English; Text verified; Multilingual; Reviewed
Education,Education,HUM-04,Japanese,Beginner dialogue with text,2048*2048,true,true,"misspelled Japanese, gibberish text, extra text, pseudo text, cropped speech bubble, malformed characters, watermark, logo, distorted hands, distorted face",Create a clean Japanese beginner textbook illustration with two Japanese high-school students greeting each other near a classroom window. Use soft educational anime-watercolor style. Include exactly two large speech bubbles with crisp readable Japanese text. Left bubble exact text: A: おはようございます。 Right bubble exact text: B: おはよう。今日は何を勉強しますか。 No other text anywhere in the image. Characters must be clear and not distorted.,,,Education; Japanese; Text verified; Multilingual; Reviewed
Education,Education,HUM-05,Japanese,"Beginner dialogue, blank bubbles",2048*2048,true,true,"misspelled Japanese, gibberish text, extra text, pseudo text, cropped speech bubble, malformed characters, watermark, logo, distorted hands, distorted face","Create a Japanese language textbook illustration for beginner learners. Two students greet each other in a bright school hallway. Include exactly two speech bubbles with readable Japanese text. Left bubble exact text: A: おはようございます。 Right bubble exact text: B: おはよう。今日は何を勉強しますか。 No other text, no signs, no board writing. Text must be accurate and clean.",,,Education; Japanese; Text verified; Multilingual; Reviewed
Education,Education,HUM-06,French,Beginner dialogue,2048*2048,true,true,"misspelled French, missing accents, Bonjour, merci, meci, neri, gibberish text, extra text, pseudo text, cropped speech bubble, watermark, logo",Create a French beginner textbook illustration. Two young people meet outside a small cafe. Include exactly two large speech bubbles with very large crisp French text. Left bubble exact text: Salut ! Right bubble exact text: Oui. No other text in the bubbles. The words must be spelled exactly.,,,Education; French; Text verified; Multilingual; Reviewed
Education,Education,HUM-07,Spanish,Beginner dialogue,2048*2048,true,true,"misspelled Spanish, missing accents, gibberish text, extra text, pseudo text, cropped speech bubble, watermark, logo, distorted hands, distorted face",Create a Spanish beginner textbook illustration. Two students with diverse skin tones talk in a sunny school courtyard. Include exactly two large speech bubbles with crisp readable Spanish text. Left bubble exact text: A: ¿Qué clase tienes ahora? Right bubble exact text: B: Tengo clase de ciencias. No other text anywhere in the image. Accents and inverted question mark must be correct.,,,Education; Spanish; Text verified; Multilingual; Reviewed
Education,Education,HUM-08,Russian,Beginner dialogue,2048*2048,true,true,"misspelled Cyrillic, gibberish text, extra text, pseudo text, cropped speech bubble, malformed characters, watermark, logo, distorted hands, distorted face","Create a Russian beginner textbook illustration. Two classmates meet at a school entrance in autumn and greet each other. Include exactly two large speech bubbles with crisp readable Russian Cyrillic text. Left bubble exact text: A: Привет! Как дела? Right bubble exact text: B: Хорошо, спасибо. А у тебя? No other text anywhere in the image. Cyrillic characters must be clear and accurate.",,,Education; Russian; Text verified; Multilingual; Reviewed
Education,Education,STEM-01,Mathematics,Quadratic function diagram,2048*2048,true,true,"wrong formula, extra formula, gibberish text, misspelled labels, wrong parabola, non-symmetric curve, extra red point, cropped labels, watermark, logo","Create a clean mathematics textbook diagram of a quadratic function on a coordinate grid. Show exactly one smooth upward-opening parabola with vertex at (2, -1), roots at (1, 0) and (3, 0), and y-intercept at (0, 3). Add crisp readable labels only: y = x² - 4x + 3, roots: (1, 0), (3, 0), vertex: (2, -1), axis: x = 2. No other text. Geometry must match the labels.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01A,Mathematics,"Quadratic diagram, no grid",2048*2048,true,true,"symmerry, misspelled labels, wrong formula, extra formula, gibberish text, malformed labels, wrong parabola, non-symmetric curve, extra red point, cropped labels, watermark, logo","Create a clean mathematics teaching diagram on a plain white background, no grid. Show one smooth upward-opening parabola with vertex below the x-axis, two x-intercepts, and a dashed vertical symmetry line. Add only these short crisp labels: y = x? - 4x + 3, vertex, roots, axis: x = 2. No extra words. No misspellings. Curve and key points must be mathematically consistent.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01B,Mathematics,"Quadratic diagram, orderly grid",2048*2048,true,true,"wrong formula, extra formula, gibberish text, misspelled labels, malformed grid, wrong parabola, non-symmetric curve, extra red point, cropped labels, watermark, logo","Create a clean ordered-grid mathematics worksheet diagram. Show one smooth upward-opening parabola for y = x² - 4x + 3 with vertex (2, -1), roots (1, 0) and (3, 0), y-intercept (0, 3), and dashed axis x = 2. Use red points and blue curve. Add crisp readable labels for these items only. No extra text. All labels must match the geometry.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-02,Mathematics,Text-free quadratic diagram,2048*2048,true,true,"wrong vertex, roots, extra points, syamieri, misspelled labels, wrong formula, extra formula, gibberish text, malformed grid, non-symmetric curve, cropped labels, watermark, logo","Create a clear labeled quadratic graph for a school textbook. Show y = x? only. One upward-opening parabola with vertex exactly at the origin, x-axis and y-axis crossing at the vertex, and dashed vertical axis x = 0. Add only these labels: y = x?, vertex (0,0), x-axis, y-axis, axis: x = 0. No roots labels. No extra text. Geometry must match y = x?.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
