collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,tags
Game,Game,GAME-01,AAA fantasy world mood board,High fantasy world direction sheet,2048*2048,true,true,"real franchise, famous IP, logo, watermark, letters, words, numbers, captions, labels, unreadable text, gibberish text, cluttered layout, low quality, extra limbs, distorted anatomy","Create a premium AAA fantasy RPG world mood board for an original game. Arrange four cinematic panels: ancient cliff citadel at sunrise, mossy forest shrine, storm-lit dragon-bone battlefield, and moonlit harbor market. Include four unlabeled material swatches for stone, bronze, cloth, and glowing crystal. Absolutely no text anywhere: no captions, no labels, no letters, no numbers, no signage, no watermark. Cohesive art direction, realistic scale, production concept art quality.",,,Game; AAA; Worldbuilding; Mood board; Environment concept; No text; Reviewed
Game,Game,GAME-02,AAA sci-fi city concept,Near-future megacity environment concept,2048*2048,true,true,"real franchise, famous IP, logo, watermark, letters, words, numbers, unreadable text, gibberish text, impossible architecture, low quality, noisy details","Create a wide cinematic environment concept for an original AAA sci-fi game inside a rainy near-future megacity transit hub. Multilevel walkways, blank light panels instead of signage, diverse commuters, maintenance drones, practical lighting, wet reflections, believable scale and navigation paths. Absolutely no text anywhere: no station names, no letters, no numbers, no symbols that look like writing, no logos. Realistic production art, not overly busy.",,,Game; AAA; Sci-fi; Environment concept; City; No text; Reviewed
Game,Game,GAME-03,Boss creature concept sheet,Original monster design exploration,2048*2048,true,true,"real franchise, famous IP, logo, watermark, letters, words, numbers, labels, captions, unreadable text, gibberish text, extra heads, fused limbs, messy anatomy, horror gore","Create a pure visual boss creature reference board for an original action RPG. One ancient basalt-and-vine guardian monster appears as a large full-body render, plus separate unlabeled visual detail crops for head, claw, stone armor, moss texture, and dark attack silhouette. Clean light background, consistent anatomy, readable design language, realistic moss and stone materials. Absolutely no text anywhere: no labels, no captions, no letters, no numbers, no watermark, no template headings, no gore.",,,Game; AAA; Boss; Creature design; Concept sheet; No text; Reviewed
Game,Game,GAME-04,Playable hero turnaround,Original protagonist character sheet,2048*2048,true,true,"real franchise, famous IP, logo, watermark, unreadable text, gibberish text, inconsistent costume, distorted anatomy, extra fingers","Create a production character turnaround sheet for an original open-world adventure game protagonist. Show one Afro-Latina female explorer in weathered field jacket, utility belt, climbing gloves, and compact scanner: front, side, back views plus three facial expressions. Clean studio background, consistent costume details, believable proportions, no text, no logos.",,,Game; AAA; Character design; Turnaround; Diverse hero; No text; Reviewed
Game,Game,GAME-05,Weapon and item icon sheet,RPG equipment production assets,2048*2048,true,true,"real franchise, famous IP, logo, watermark, unreadable text, gibberish text, messy silhouettes, cropped items, low quality","Create a clean RPG equipment asset sheet for production. Twelve isolated items on transparent-looking checkerless light background: ice-forged sword, ember dagger, brass compass, healing vial, moonstone ring, leather pouch, ancient key, spellbook, shield charm, lantern, relic coin, folded map. Crisp silhouettes, game-ready icon readability, no labels, no text.",,,Game; AAA; Item icons; Weapon design; Production asset; No text; Reviewed
Game,Game,GAME-06,RPG UI visual exploration,Inventory and skill tree interface concept,2048*2048,true,true,"real franchise, famous IP, watermark, gibberish text, misspelled English, tiny unreadable UI, clutter, low contrast","Create a polished RPG UI style exploration board. Include an inventory screen, skill tree screen, and compact HUD sample using dark parchment, bronze frames, readable iconography, and clear hierarchy. Use only crisp short UI text: INVENTORY, SKILLS, MAP, QUEST, LEVEL 12, HP, MANA. No other text, no logos. Production-ready game UI mockup.",,,Game; AAA; UI UX; HUD; Inventory; English text; Reviewed
Game,Game,GAME-07,Cinematic storyboard keyframe,AAA cutscene mood frame,2048*2048,true,true,"real franchise, famous IP, logo, watermark, unreadable text, gibberish text, impossible perspective, distorted faces, low quality","Create a cinematic storyboard keyframe for an original AAA historical fantasy game. A samurai-inspired ronin and a Mongolian-inspired horse archer negotiate at a snowy mountain pass before battle. Accurate cold-weather clothing, respectful cultural cues, dramatic but believable blocking, lens composition notes shown as simple frame lines only. No text, no logos.",,,Game; AAA; Storyboard; Cinematic keyframe; Historical fantasy; No text; Reviewed
Game,Game,GAME-08,Steam capsule key art,PC store capsule for original game,2048*2048,true,true,"real franchise, famous IP, Steam logo, platform logo, review quotes, awards, discount badges, watermark, gibberish text, misspelled English, extra text","Create a PC game store capsule key art for an original atmospheric sci-fi survival game. 16:9 artwork inside a square canvas with safe margins: lone astronaut facing a black ocean planet, ruined orbital station silhouette, high contrast readable title. Add only the exact title text: ECLIPSE WARDEN. No subtitle, no quotes, no awards, no platform logos. Premium store art.",,,Game; AAA; Store capsule; Key art; English text; Marketing; Reviewed
Game,Game,GAME-09,Localized Japanese key visual,Regional game marketing poster,2048*2048,true,true,"real franchise, famous IP, logo, watermark, gibberish Japanese, misspelled text, extra text, clutter, low contrast","Create a Japanese localized key visual for an original cozy exploration game. A small airship docks beside floating gardens at sunset, gentle anime-inspired but polished commercial art, strong empty sky area for title. Add crisp readable Japanese title exactly: 星庭の旅. Add small English subtitle exactly: Garden Voyage. No other text, no logos.",,,Game; Localization; Japan; Key visual; Japanese text; Marketing; Reviewed
Game,Game,GAME-10,Environment prop texture sheet,Decals and in-world assets,2048*2048,true,true,"real franchise, famous IP, logo, watermark, readable text, labels, letters, words, numbers, gibberish text, muddy materials, cropped props","Create an environment art texture and decal sheet for an original abandoned space colony game. Arrange clean production tiles: worn floor panel, blank yellow hazard stripe decal with no letters, scratched metal door, cracked glass, dust pattern, cable bundle, wall vent, fabric patch, oil stain, small crate. Realistic PBR material feel, neutral lighting. Absolutely no labels, no captions, no letters, no numbers, no watermark.",,,Game; AAA; Environment art; Texture; Decal; Production asset; No text; Reviewed
