collection,industry,case_id,subject,scene,model,status,image,prompt,reference_image,reference_url,tags
Education,Education,HUM-01,Chinese literature,Ancient poem illustration,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-01.png,"Create a textbook-style illustration for a literature lesson. Show a quiet riverside at dusk, an ancient poet standing near a small wooden boat, distant mountains, soft clouds, and reflections on the water. Use a restrained watercolor style, poetic atmosphere, muted colors, and a composition suitable for a middle school language arts textbook. Do not include modern objects or decorative text.",,,Education; Chinese literature
Education,Education,HUM-01,Chinese literature,Ancient poem illustration,wan2.7-image,ok,assets/wan2.7-image_HUM-01.png,"Create a textbook-style illustration for a literature lesson. Show a quiet riverside at dusk, an ancient poet standing near a small wooden boat, distant mountains, soft clouds, and reflections on the water. Use a restrained watercolor style, poetic atmosphere, muted colors, and a composition suitable for a middle school language arts textbook. Do not include modern objects or decorative text.",,,Education; Chinese literature
Education,Education,HUM-02,Chinese textbook,Primary-school watercolor,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-02.png,"Redraw a charming watercolor Chinese language textbook illustration featuring a young girl with pigtails, floating bubbles, a colorful rooster, and two white swans. Use a soft limited color palette dominated by blues, greens, and natural tones. Set the scene on a wooden dock beside a calm body of water, with a grassy bank and a gentle educational textbook atmosphere.",,,Education; Chinese textbook
Education,Education,HUM-02,Chinese textbook,Primary-school watercolor,wan2.7-image,ok,assets/wan2.7-image_HUM-02.png,"Redraw a charming watercolor Chinese language textbook illustration featuring a young girl with pigtails, floating bubbles, a colorful rooster, and two white swans. Use a soft limited color palette dominated by blues, greens, and natural tones. Set the scene on a wooden dock beside a calm body of water, with a grassy bank and a gentle educational textbook atmosphere.",,,Education; Chinese textbook
Education,Education,HUM-03,English,Beginner dialogue,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-03.png,"Create a clean English beginner textbook illustration with two middle-school students greeting each other in a school library. Use friendly watercolor textbook style. Include exactly two large speech bubbles with crisp readable English text. Left bubble exact text: A: Hi, how are you? Right bubble exact text: B: I am fine, thank you. No other text anywhere in the image. Text must be spelled exactly and clearly.",,,Education; English; Text verified; Multilingual; Reviewed
Education,Education,HUM-03,English,Beginner dialogue,wan2.7-image,ok,assets/wan2.7-image_HUM-03.png,"Create a clean English beginner textbook illustration with two middle-school students greeting each other in a school library. Use friendly watercolor textbook style. Include exactly two large speech bubbles with crisp readable English text. Left bubble exact text: A: Hi, how are you? Right bubble exact text: B: I am fine, thank you. No other text anywhere in the image. Text must be spelled exactly and clearly.",,,Education; English; Text verified; Multilingual; Reviewed
Education,Education,HUM-04,Japanese,Beginner dialogue with text,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-04.png,Create a clean Japanese beginner textbook illustration with two Japanese high-school students greeting each other near a classroom window. Use soft educational anime-watercolor style. Include exactly two large speech bubbles with crisp readable Japanese text. Left bubble exact text: A: おはようございます。 Right bubble exact text: B: おはよう。今日は何を勉強しますか。 No other text anywhere in the image. Characters must be clear and not distorted.,,,Education; Japanese; Text verified; Multilingual; Reviewed
Education,Education,HUM-04,Japanese,Beginner dialogue with text,wan2.7-image,ok,assets/wan2.7-image_HUM-04.png,Create a clean Japanese beginner textbook illustration with two Japanese high-school students greeting each other near a classroom window. Use soft educational anime-watercolor style. Include exactly two large speech bubbles with crisp readable Japanese text. Left bubble exact text: A: おはようございます。 Right bubble exact text: B: おはよう。今日は何を勉強しますか。 No other text anywhere in the image. Characters must be clear and not distorted.,,,Education; Japanese; Text verified; Multilingual; Reviewed
Education,Education,HUM-05,Japanese,"Beginner dialogue, blank bubbles",qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-05.png,"Create a Japanese language textbook illustration for beginner learners. Two students greet each other in a bright school hallway. Include exactly two speech bubbles with readable Japanese text. Left bubble exact text: A: おはようございます。 Right bubble exact text: B: おはよう。今日は何を勉強しますか。 No other text, no signs, no board writing. Text must be accurate and clean.",,,Education; Japanese; Text verified; Multilingual; Reviewed
Education,Education,HUM-05,Japanese,"Beginner dialogue, blank bubbles",wan2.7-image,ok,assets/wan2.7-image_HUM-05.png,"Create a Japanese language textbook illustration for beginner learners. Two students greet each other in a bright school hallway. Include exactly two speech bubbles with readable Japanese text. Left bubble exact text: A: おはようございます。 Right bubble exact text: B: おはよう。今日は何を勉強しますか。 No other text, no signs, no board writing. Text must be accurate and clean.",,,Education; Japanese; Text verified; Multilingual; Reviewed
Education,Education,HUM-06,French,Beginner dialogue,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-06.png,"Create a French beginner textbook illustration. Two young people meet outside a small Paris-style cafe and greet each other politely. Include exactly two large speech bubbles with crisp readable French text. Left bubble exact text: A: Bonjour, comment ça va ? Right bubble exact text: B: Très bien, merci. No other text anywhere in the image. Accents must be correct.",,,Education; French; Text verified; Multilingual; Reviewed
Education,Education,HUM-06,French,Beginner dialogue,wan2.7-image,ok,assets/wan2.7-image_HUM-06.png,Create a French beginner textbook illustration. Two young people meet outside a small cafe. Include exactly two large speech bubbles with very large crisp French text. Left bubble exact text: Salut ! Right bubble exact text: Oui. No other text in the bubbles. The words must be spelled exactly.,,,Education; French; Text verified; Multilingual; Reviewed
Education,Education,HUM-07,Spanish,Beginner dialogue,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-07.png,Create a Spanish beginner textbook illustration. Two students with diverse skin tones talk in a sunny school courtyard. Include exactly two large speech bubbles with crisp readable Spanish text. Left bubble exact text: A: ¿Qué clase tienes ahora? Right bubble exact text: B: Tengo clase de ciencias. No other text anywhere in the image. Accents and inverted question mark must be correct.,,,Education; Spanish; Text verified; Multilingual; Reviewed
Education,Education,HUM-07,Spanish,Beginner dialogue,wan2.7-image,ok,assets/wan2.7-image_HUM-07.png,Create a Spanish beginner textbook illustration. Two students with diverse skin tones talk in a sunny school courtyard. Include exactly two large speech bubbles with crisp readable Spanish text. Left bubble exact text: A: ¿Qué clase tienes ahora? Right bubble exact text: B: Tengo clase de ciencias. No other text anywhere in the image. Accents and inverted question mark must be correct.,,,Education; Spanish; Text verified; Multilingual; Reviewed
Education,Education,HUM-08,Russian,Beginner dialogue,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_HUM-08.png,"Create a Russian beginner textbook illustration. Two classmates meet at a school entrance in autumn and greet each other. Include exactly two large speech bubbles with crisp readable Russian Cyrillic text. Left bubble exact text: A: Привет! Как дела? Right bubble exact text: B: Хорошо, спасибо. А у тебя? No other text anywhere in the image. Cyrillic characters must be clear and accurate.",,,Education; Russian; Text verified; Multilingual; Reviewed
