collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,model_reference_url,source_url,notes,tags
Fashion,Fashion,FSH-01,Size-inclusive e-commerce try-on,"Same linen blazer on petite East Asian model, front catalog view",2048*2048,true,true,"low quality, distorted hands, distorted face, extra fingers, fused fingers, warped clothing, fake plastic skin, unreadable text, logos, watermark, brand name, unrealistic body proportions","Photorealistic fashion e-commerce try-on image using the reference blazer as the garment inspiration. A petite East Asian woman, about 155 cm, slim build, neutral expression, standing straight in a clean light-gray studio, full body front view, wearing a cream linen single-breasted blazer over a plain white tee and straight dark denim. Accurate garment fit at shoulders and cuffs, natural fabric wrinkles, realistic skin texture, calibrated color, softbox lighting, 70mm lens, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/8/8d/Blazer.JPG,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/8/8d/Blazer.JPG,https://commons.wikimedia.org/wiki/File:Blazer.JPG,Same garment test for petite model.,Fashion; Try-on; E-commerce; Same garment; East Asian; Petite; Womenswear; Front view; Reference
Fashion,Fashion,FSH-02,Size-inclusive e-commerce try-on,"Same linen blazer on Black plus-size model, three-quarter catalog view",2048*2048,true,true,"low quality, distorted hands, distorted face, extra fingers, fused fingers, warped clothing, fake plastic skin, unreadable text, logos, watermark, brand name, unrealistic body proportions","Photorealistic fashion e-commerce try-on image using the reference blazer as garment inspiration. A Black woman, plus-size curvy build, medium-dark skin tone, relaxed confident posture, clean light-gray studio, full body 45-degree three-quarter view, wearing a cream linen single-breasted blazer over a black tank top and tailored black trousers. Show realistic blazer drape over bust and hips, accurate seams, natural hands, soft shadows, true-to-life fabric texture, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/8/8d/Blazer.JPG,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/8/8d/Blazer.JPG,https://commons.wikimedia.org/wiki/File:Blazer.JPG,Same garment test for inclusive sizing.,Fashion; Try-on; E-commerce; Same garment; Black model; Plus-size; Womenswear; Three-quarter view; Reference
Fashion,Fashion,FSH-03,Size-inclusive e-commerce try-on,"Same linen blazer on tall South Asian male model, side fit view",2048*2048,true,true,"low quality, distorted hands, distorted face, extra fingers, fused fingers, warped clothing, fake plastic skin, unreadable text, logos, watermark, brand name, unrealistic body proportions","Photorealistic fashion e-commerce try-on image using the reference blazer as a unisex garment inspiration. A tall South Asian man, about 188 cm, lean build, warm brown skin tone, standing in a clean light-gray studio, full body side profile with face slightly turned to camera, wearing a cream linen blazer over a light blue shirt and relaxed navy trousers. Accurate shoulder line, sleeve length, lapel structure, realistic fabric tension, commercial catalog lighting, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/8/8d/Blazer.JPG,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/8/8d/Blazer.JPG,https://commons.wikimedia.org/wiki/File:Blazer.JPG,Same garment test for menswear/unisex fit.,Fashion; Try-on; E-commerce; Same garment; South Asian; Menswear; Tall; Side view; Reference
Fashion,Fashion,FSH-04,Size-inclusive e-commerce try-on,"Same navy blazer on older white model, back detail view",2048*2048,true,true,"low quality, distorted hands, distorted face, extra fingers, fused fingers, warped clothing, fake plastic skin, unreadable text, logos, watermark, brand name, unrealistic body proportions","Photorealistic e-commerce fit image using the reference navy blazer as garment inspiration. An older white woman in her early 60s, average height, natural silver hair, average build, clean light-gray studio, full body back view with head turned slightly toward camera, wearing a navy blazer with ivory knit top and straight gray trousers. Emphasize back seam alignment, shoulder fit, hem length, realistic wool texture, natural posture, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/4/40/Navy_Blazer_%2851011161195%29.jpg,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/4/40/Navy_Blazer_%2851011161195%29.jpg,https://commons.wikimedia.org/wiki/File:Navy_Blazer_(51011161195).jpg,Older model and back detail test.,Fashion; Try-on; E-commerce; Same garment; Older model; Womenswear; Back view; Reference
Fashion,Fashion,FSH-05,Daily outfit matrix,Same model wearing three different everyday outfits,2048*2048,true,true,"low quality, inconsistent anatomy, duplicate limbs, distorted hands, unreadable text, logos, watermark, brand name, fake plastic skin, warped clothing","Create a photorealistic fashion e-commerce outfit matrix with one consistent Latina model, medium tan skin tone, shoulder-length dark hair, average height and athletic build, shown in three adjacent full-body studio panels on the same light-gray background. Panel 1: white button shirt with straight jeans. Panel 2: oatmeal knit sweater with wide-leg trousers. Panel 3: black slip dress with cropped denim jacket. Natural fabric drape, catalog lighting, no text, no logos, consistent identity and proportions across panels.",,,,,Same person different outfit test.,Fashion; Try-on; E-commerce; Same model; Latina; Womenswear; Outfit matrix; Multi-panel
Fashion,Fashion,FSH-06,Daily trouser fit matrix,Same model wearing different pants silhouettes,2048*2048,true,true,"low quality, inconsistent anatomy, duplicate limbs, distorted hands, unreadable text, logos, watermark, brand name, fake plastic skin, warped clothing","Create a photorealistic fashion e-commerce pants fit matrix with one consistent Black male model, medium-dark skin tone, short hair, average height, athletic build, shown in four adjacent full-body studio panels on a light-gray background. Each panel uses the same plain white tee and different pants: slim black chinos, relaxed blue denim, pleated olive trousers, wide-leg charcoal wool pants. Accurate waist fit, hem break, realistic fabric folds, natural stance, clean catalog lighting, no text, no logos.",,,,,Same person different pants silhouettes.,Fashion; Try-on; E-commerce; Same model; Black model; Menswear; Pants; Multi-panel
Fashion,Fashion,FSH-07,Body diversity denim try-on,Same denim styling on mixed body types,2048*2048,true,true,"low quality, distorted hands, distorted face, duplicate limbs, fake plastic skin, unrealistic body proportions, logos, watermark, unreadable text","Photorealistic e-commerce denim try-on set with four diverse adult models standing side by side in one clean studio image, evenly spaced and realistically scaled: a short East Asian woman, a tall Black woman, a plus-size white man, and a slim Middle Eastern woman wearing a hijab. Each wears the same indigo straight-leg jeans with simple neutral tops. Front view, accurate jean fit differences at waist, hips, thighs, and hem, soft studio lighting, no logos, no text.",,,,,Inclusive body and modest-fashion denim test.,Fashion; Try-on; E-commerce; Body diversity; Denim; Modest fashion; Multi-model; Front view
Fashion,Fashion,FSH-08,Streetwear try-on,Urban casual outfit for Southeast Asian market,2048*2048,true,true,"low quality, distorted hands, fake skin, warped clothing, logos, watermark, unreadable text, exaggerated cartoon style","Photorealistic streetwear lookbook shot for Southeast Asian urban consumers. A Thai male model with medium tan skin tone, compact athletic build, standing on a shaded Bangkok side street after light rain, wearing an oversized charcoal utility overshirt, white tee, cropped black cargo pants, and clean sneakers. Natural humid light, realistic pavement reflections, candid 35mm lens, commercial fashion styling, no brand logos, no text.",,,,,Country-market streetwear scenario.,Fashion; Try-on; Streetwear; Southeast Asia; Menswear; Lookbook; Location
Fashion,Fashion,FSH-09,Runway design,Accra-inspired modern runway couture,2048*2048,true,true,"low quality, distorted hands, distorted face, extra limbs, unreadable text, logos, watermark, copied designer brand, unrealistic fabric physics","Photorealistic runway fashion image inspired by contemporary West African design, not copying any brand. A Black female model walking a long runway, wearing a sculptural indigo and gold haute-couture gown with structured shoulders, handwoven-textile inspired surface detail, and controlled volume. Audience dimmed, runway brighter than the crowd, accurate spotlight falloff, fabric movement frozen mid-step, editorial camera at runway end, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/9/9f/Fashion_runway5.jpg,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/9/9f/Fashion_runway5.jpg,https://commons.wikimedia.org/wiki/File:Fashion_runway5.jpg,Runway lighting and regional couture test.,Fashion; Runway; Haute couture; West African; Black model; Editorial; Reference
Fashion,Fashion,FSH-10,Runway design,Tokyo architectural street-couture runway,2048*2048,true,true,"low quality, distorted hands, extra limbs, unreadable text, logos, watermark, copied designer brand, anime style, unrealistic fabric","Photorealistic Tokyo fashion-week runway image, original architectural street-couture outfit. A Japanese model with sharp bob haircut walks under cool white runway lights wearing layered black technical satin, asymmetrical pleated skirt over slim trousers, translucent raincoat panels, and minimal silver accessories. Clean linear runway, photographers at the end slightly out of focus, realistic fabric opacity and reflections, 85mm editorial lens, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fashion_Runway.jpg/1920px-Fashion_Runway.jpg,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fashion_Runway.jpg/1920px-Fashion_Runway.jpg,https://commons.wikimedia.org/wiki/File:Fashion_Runway.jpg,Tokyo-inspired fashion show production.,Fashion; Runway; Tokyo; Street couture; East Asian; Editorial; Reference
