collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,source_url,notes
Film & TV,Film & TV,FTV-01,American superhero comics,Superhero character production turnaround,2048*2048,true,true,"low quality, copied famous superhero, logos, distorted anatomy, inconsistent costume, annotation text, unreadable notes, letters, words","Create an original American superhero comic character production sheet, not based on any existing IP. Show one African American female hero in a sleek blue and silver suit: front, side, back views plus four head expressions. Clean white studio background, crisp comic ink, controlled cel shading, accurate proportions, consistent costume details. Use empty margin boxes only; no annotations, no letters, no words, no logos.",,,https://cinegeist.com/,"Tests original superhero character consistency, expressions, costume design."
Film & TV,Film & TV,FTV-02,US prestige drama,Cinematic interrogation storyboard,2368*1728,true,true,"low quality, fake text, distorted faces, extra fingers, flat lighting, unrealistic police room","Create a 3-panel widescreen storyboard contact sheet for a US prestige crime drama interrogation scene. Panel 1 wide establishing shot through one-way glass, Panel 2 over-the-shoulder detective questioning a suspect, Panel 3 close-up of the suspect under harsh fluorescent light. Realistic casting diversity, restrained color grade, natural acting, clear cinematic blocking, blank caption bars under each panel, no readable text.",,,https://www.visionframe.app/,"Tests storyboard framing, lighting continuity, production usability."
Film & TV,Film & TV,FTV-03,Chinese short drama,Vertical costume microdrama poster,1536*2688,true,true,"low quality, wrong Chinese characters, messy costume, copied celebrity face, fake logo, distorted hands","Create a vertical key poster for a Chinese costume short drama. A young noblewoman in pale green Hanfu stands before a palace gate at dusk, holding a jade hairpin; a shadowed prince is behind her. Romantic revenge mood, premium short-drama poster composition, elegant title space. Include only this Chinese title in clean calligraphy: 「玉簪归来」. No extra text, no logos.",,,https://en.wikipedia.org/wiki/Duanju,"Tests Chinese title rendering and vertical short-drama poster style."
Film & TV,Film & TV,FTV-04,Chinese donghua,Donghua xianxia character line art sheet,2048*2048,true,true,"low quality, cluttered background, inconsistent face, messy line art, copied anime character, unreadable labels","Create a Chinese donghua xianxia character design line-art sheet for animation production. One young male cultivator with long hair, layered robes, sword tassel, and cloud motifs. Show front view, side view, back view, weapon detail, and two gesture poses. Clean black line art with light blue construction lines, white background, blank label spaces, consistent proportions, no text.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Tests animation line-art and turnaround usefulness."
Film & TV,Film & TV,FTV-05,Japanese sports anime,Basketball anime team key visual,2368*1728,true,true,"low quality, copied known anime, bad ball anatomy, warped court lines, incorrect Japanese text, extra text, misspelled title, ブナー","Create an original Japanese sports anime key visual for a high school basketball series, not any existing franchise. Five teen players sprint across an indoor court, dynamic perspective, clean cel animation, sharp jersey silhouettes, dramatic arena lights. Add exactly one large Japanese title: 最後のブザー. The last word must be ブザー, not ブナー. No subtitle, no other text, no logos.",,,https://www.grandviewresearch.com/industry-analysis/anime-market,"Tests anime action composition and Japanese title rendering."
Film & TV,Film & TV,FTV-06,Japanese live-action drama,Rainy station drama still,2368*1728,true,true,"low quality, artificial skin, overdramatic pose, fake signs, unreadable text, distorted umbrellas","Create a realistic Japanese live-action drama still at a small suburban train station during evening rain. A middle-aged woman and her adult son stand apart under separate transparent umbrellas, emotional silence, warm vending machine glow, wet platform reflections, natural acting, 50mm lens, subtle film grain, production-still realism. No readable signage, no logos.",,,https://dayprompts.com/15-midjourney-prompts-for-cinematic-film-still-looks/,"Tests grounded live-action realism and restrained acting."
Film & TV,Film & TV,FTV-07,Korean drama,K-drama character poster,1536*2688,true,true,"low quality, copied celebrity, incorrect Korean text, plastic skin, messy typography, extra text","Create a vertical character poster for a Korean romantic thriller drama. A Korean prosecutor in a dark suit stands in neon rain outside a courthouse, conflicted expression, city bokeh, elegant noir lighting, premium streaming key art. Include exactly one Korean title near the bottom: 「비밀의 증언」. Leave clean space for billing block but no extra text or logos.",,,https://koreanfilm.or.kr/eng/news/news.jsp?blbdComCd=601006&mode=VIEW&seq=6387,"Tests Korean title rendering and K-drama poster polish."
Film & TV,Film & TV,FTV-08,British period drama,Manor house candlelit production still,2368*1728,true,true,"low quality, fantasy castle, inaccurate costume, fake text, distorted faces, modern objects","Create a cinematic production still for a British period mystery drama set in 1910. Multiracial household staff and aristocrats gather in a candlelit manor dining room after a shocking announcement. Accurate Edwardian-inspired wardrobe, practical candlelight, layered blocking, restrained performances, painterly but realistic cinematography, no readable text, no modern props.",,,https://senalnews.com/en/data/global-production-americas-and-emea-lean-towards-prestige-ip-and-factual/amp,"Tests ensemble blocking, period costume, lighting."
Film & TV,Film & TV,FTV-09,Latin American telenovela,Telenovela relationship poster,1536*2688,true,true,"low quality, stereotype, fake Spanish, distorted faces, messy layout, extra text","Create a vertical poster for a contemporary Latin American family telenovela. A Latina matriarch stands between two rival siblings in a sunlit hacienda courtyard, emotional tension, warm color grade, elegant wardrobe, polished streaming drama key art. Include exactly one Spanish title: “Herencia de Fuego”. Leave a clean billing area, no logos, no extra text.",,,https://time.com/6075019/the-house-of-flowers-telenovela/,"Tests Spanish title and melodrama poster composition."
Film & TV,Film & TV,FTV-10,African diaspora drama,Afrofuturist limited series scene,2368*1728,true,true,"low quality, stereotype, fake symbols, plastic skin, distorted architecture, unreadable text","Create a cinematic still for an Afrofuturist limited series set in a near-future coastal West African city. A Black female engineer examines a glowing clean-energy artifact in a community workshop, woven textiles beside advanced devices, respectful cultural detail, realistic faces, rich natural light, grounded production design, premium sci-fi drama tone. No text, no logos.",,,https://www.streamingmediaglobal.com/PressRelease/FAST-TREND-REPORT-2026_57373.aspx,"Tests culturally grounded sci-fi production design."
