case_id,model,industry,subject,scene,score,status,notes,image
HUM-01,qwen-image-2.0-pro,Education,Chinese literature,Ancient poem illustration,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-01.png
HUM-01,wan2.7-image,Education,Chinese literature,Ancient poem illustration,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-01.png
HUM-02,qwen-image-2.0-pro,Education,Chinese textbook,Primary-school watercolor,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-02.png
HUM-02,wan2.7-image,Education,Chinese textbook,Primary-school watercolor,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-02.png
HUM-03,qwen-image-2.0-pro,Education,English,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-03.png
HUM-03,wan2.7-image,Education,English,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-03.png
HUM-04,qwen-image-2.0-pro,Education,Japanese,Beginner dialogue with text,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-04.png
HUM-04,wan2.7-image,Education,Japanese,Beginner dialogue with text,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-04.png
HUM-05,qwen-image-2.0-pro,Education,Japanese,"Beginner dialogue, blank bubbles",4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-05.png
HUM-05,wan2.7-image,Education,Japanese,"Beginner dialogue, blank bubbles",4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-05.png
HUM-06,qwen-image-2.0-pro,Education,French,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-06.png
HUM-06,wan2.7-image,Education,French,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-06.png
HUM-07,qwen-image-2.0-pro,Education,Spanish,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-07.png
HUM-07,wan2.7-image,Education,Spanish,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-07.png
HUM-08,qwen-image-2.0-pro,Education,Russian,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_HUM-08.png
HUM-08,wan2.7-image,Education,Russian,Beginner dialogue,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_HUM-08.png
STEM-01,qwen-image-2.0-pro,Education,Mathematics,Quadratic function diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-01.png
STEM-01,wan2.7-image,Education,Mathematics,Quadratic function diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-01.png
STEM-01A,qwen-image-2.0-pro,Education,Mathematics,"Quadratic diagram, no grid",4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-01A.png
STEM-01A,wan2.7-image,Education,Mathematics,"Quadratic diagram, no grid",4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-01A.png
STEM-01B,qwen-image-2.0-pro,Education,Mathematics,"Quadratic diagram, orderly grid",4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-01B.png
STEM-01B,wan2.7-image,Education,Mathematics,"Quadratic diagram, orderly grid",4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-01B.png
STEM-02,qwen-image-2.0-pro,Education,Mathematics,Text-free quadratic diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-02.png
STEM-02,wan2.7-image,Education,Mathematics,Text-free quadratic diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-02.png
STEM-03,qwen-image-2.0-pro,Education,Physics,Free-body diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-03.png
STEM-03,wan2.7-image,Education,Physics,Free-body diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-03.png
STEM-04,qwen-image-2.0-pro,Education,Physics,Text-free free-body diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-04.png
STEM-04,wan2.7-image,Education,Physics,Text-free free-body diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-04.png
STEM-05,qwen-image-2.0-pro,Education,Physics,Electromagnetic induction,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-05.png
STEM-05,wan2.7-image,Education,Physics,Electromagnetic induction,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-05.png
STEM-06,qwen-image-2.0-pro,Education,Chemistry,SN2 reaction mechanism,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-06.png
STEM-06,wan2.7-image,Education,Chemistry,SN2 reaction mechanism,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-06.png
STEM-07,qwen-image-2.0-pro,Education,Biology,Animal cell diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-07.png
STEM-07,wan2.7-image,Education,Biology,Animal cell diagram,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-07.png
STEM-10,qwen-image-2.0-pro,Education,Engineering,Series circuit,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_STEM-10.png
