collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,tags
Education,Education,HUM-03,English,Beginner dialogue,2048*2048,true,true,"readable text, letters, words, signs, labels, logo, watermark, gibberish text, malformed hands, distorted face","Create a clean English beginner textbook illustration. Two middle-school students stand in a quiet school library and greet each other politely. Use a friendly watercolor textbook style, natural faces and hands, simple bookshelves in the background, and exactly two large empty white speech bubbles. The bubbles must contain no letters, no words, no marks, and no pseudo text. Leave generous blank space for later typesetting.",,,Education; English; Text-safe; Blank bubbles; Reviewed
Education,Education,HUM-04,Japanese,Beginner dialogue with text,2048*2048,true,true,"readable text, Japanese text, letters, words, signs, classroom writing, logo, watermark, gibberish text, malformed hands, distorted face","Create a clean Japanese beginner textbook illustration. Two Japanese high-school students stand near a classroom window and greet each other politely. Soft watercolor textbook style, natural uniforms, simple classroom background without writing on boards or posters, and exactly two large empty white speech bubbles. The bubbles must be completely blank with no Japanese characters, no letters, no marks, no pseudo text. Leave space for later Japanese typesetting.",,,Education; Japanese; Text-safe; Blank bubbles; Reviewed
Education,Education,HUM-05,Japanese,"Beginner dialogue, blank bubbles",2048*2048,true,true,"readable text, Japanese text, letters, words, signs, classroom writing, logo, watermark, gibberish text, malformed hands, distorted face","Create a Japanese language textbook illustration for beginner learners. Two students greet each other in a bright school hallway. Use a clean educational manga-watercolor hybrid style suitable for a printed workbook. Include exactly two large empty speech bubbles and no text anywhere in the image: no signs, no blackboard writing, no posters, no labels, no pseudo text. Clear faces, natural hands, balanced composition.",,,Education; Japanese; Text-safe; Blank bubbles; Reviewed
Education,Education,HUM-06,French,Beginner dialogue,2048*2048,true,true,"readable text, French text, letters, words, signs, cafe sign, logo, watermark, gibberish text, malformed hands, distorted face","Create a French beginner textbook illustration. Two young people meet outside a small Paris-style cafe on a quiet street and greet each other politely. Soft friendly watercolor style, light European street details, no storefront text, no menus, no signs, no brand names. Add exactly two large empty white speech bubbles with no letters, no words, no punctuation, no pseudo text. Leave space for later French typesetting.",,,Education; French; Text-safe; Blank bubbles; Reviewed
Education,Education,HUM-07,Spanish,Beginner dialogue,2048*2048,true,true,"readable text, Spanish text, letters, words, school sign, logo, watermark, gibberish text, malformed hands, distorted face","Create a Spanish beginner textbook illustration. Two students with diverse skin tones stand in a sunny school courtyard and talk about their class schedule. Warm colors, natural gestures, clean educational illustration style. Include exactly two large empty white speech bubbles, completely blank. No words, no letters, no signage, no posters, no pseudo text anywhere. Leave space for later Spanish typesetting.",,,Education; Spanish; Text-safe; Blank bubbles; Reviewed
Education,Education,HUM-08,Russian,Beginner dialogue,2048*2048,true,true,"readable text, Cyrillic text, Russian text, letters, words, school sign, logo, watermark, gibberish text, malformed hands, distorted face","Create a Russian beginner textbook illustration. Two classmates meet at a school entrance in autumn and greet each other. Clean textbook illustration style, soft colors, simple school doorway with no signage and no writing. Add exactly two large empty white speech bubbles, completely blank with no Cyrillic characters, no letters, no marks, no pseudo text. Natural expressions and hands.",,,Education; Russian; Text-safe; Blank bubbles; Reviewed
Education,Education,STEM-01,Mathematics,Quadratic function diagram,2048*2048,true,true,"extra red point, point floating above curve, readable text, formulas, numbers, malformed grid, wrong parabola, extra axes, logo, watermark, gibberish labels","Create a very simple mathematically correct, text-free textbook diagram of an upward-opening quadratic function on a clean coordinate grid. Show exactly one smooth symmetric blue parabola, one x-axis, one y-axis, and exactly three red key points: left x-intercept, right x-intercept, and vertex below the x-axis. Do not draw any other red points. No letters, no numbers, no formulas, no labels, no words, no pseudo text.",,,Education; Mathematics; STEM; Text-free; Science verified; Reviewed
Education,Education,STEM-01A,Mathematics,"Quadratic diagram, no grid",2048*2048,true,true,"readable text, formulas, numbers, malformed axes, wrong parabola, extra axes, logo, watermark, gibberish labels","Create a mathematically correct, text-free educational diagram of an upward-opening quadratic curve on plain white paper with only x-axis and y-axis lines. Show one smooth symmetric parabola, vertex below the x-axis, two symmetric x-intercepts, and a vertical axis of symmetry shown as a light dashed line. Red dots mark intercepts and vertex. No grid, no letters, no numbers, no formulas, no labels, no pseudo text.",,,Education; Mathematics; STEM; Text-free; Science verified; Reviewed
Education,Education,STEM-01B,Mathematics,"Quadratic diagram, orderly grid",2048*2048,true,true,"readable text, formulas, numbers, malformed grid, wrong parabola, extra axes, logo, watermark, gibberish labels","Create a clean mathematics workbook diagram of an upward-opening quadratic function on an orderly square coordinate grid. Show one smooth symmetric parabola, a single x-axis and y-axis, a dashed vertical axis of symmetry, two x-intercepts at the same height, one vertex below the x-axis, and one y-intercept. Red dots mark the key points. No letters, no numbers, no formulas, no labels, no pseudo text.",,,Education; Mathematics; STEM; Text-free; Science verified; Reviewed
Education,Education,STEM-02,Mathematics,Text-free quadratic diagram,2048*2048,true,true,"readable text, formulas, numbers, malformed grid, wrong parabola, extra axes, logo, watermark, gibberish labels","Create a fully text-free quadratic function teaching graphic. Only show a precise coordinate grid, x-axis, y-axis, a smooth blue upward-opening parabola, red key points at vertex and intercepts, and a faint dashed symmetry line. The geometry must be internally consistent: symmetric left and right arms and vertex centered on the dashed line. No words, no letters, no numerals, no labels.",,,Education; Mathematics; STEM; Text-free; Science verified; Reviewed
