collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,tags
Design,Design,DSG-01,RedNote travel cover,Culture tourism poster for Dali,2048*2048,true,true,"extra title, extra text, small text, misspelled Chinese, gibberish text, fake characters, watermark, logo, cluttered layout, low contrast, real brand","Create a clean RedNote-style travel cover poster for an original lakeside old town. Square mobile cover, warm lake-and-mountain travel collage, old street, map sticker, soft sunlight. Use only two crisp Chinese text lines: title ????? and subtitle ?????. No other text, no small map text, no fake characters. Premium social media layout.",,,Design; RedNote; Travel; Chinese text; Poster; Social cover; Reviewed
Design,Design,DSG-02,RedNote city walk cover,Shanghai city walk note cover,2048*2048,true,true,"misspelled Chinese, gibberish text, extra text, watermark, logo, cluttered layout, low contrast, fake signage","Create a RedNote travel note cover for a Shanghai city walk. Square cover, editorial street photo collage with plane-tree shadows, old lane architecture, coffee cup, metro line motif, red bookmark sticker aesthetic. Use crisp readable headline exactly: 上海CITY WALK. Use smaller subtitle exactly: 一日路线. No other text. Modern warm lifestyle design, clear mobile readability.",,,Design; RedNote; City walk; Chinese text; Poster; Social cover; Reviewed
Design,Design,DSG-03,YouTube tutorial thumbnail,AI editing tutorial thumbnail,2048*2048,true,true,"misspelled English, gibberish text, extra text, tiny text, watermark, logo, clutter, low contrast, distorted face","Create a high-click YouTube tutorial thumbnail. 16:9 composition inside a square canvas with safe margins, high contrast blue and yellow, one expressive creator face on the left, laptop editing timeline on the right, bold arrow and glow effects. Add big crisp readable text exactly: AI EDITING. Add small badge text exactly: 5 STEPS. No other text. Mobile-readable, professional thumbnail design.",,,Design; YouTube; Tutorial thumbnail; English text; High contrast; Reviewed
Design,Design,DSG-04,YouTube tutorial thumbnail,Coding app tutorial thumbnail,2048*2048,true,true,"misspelled English, gibberish text, extra text, tiny text, watermark, logo, clutter, low contrast, distorted hands","Create a modern YouTube coding tutorial thumbnail. Dark interface background, bright green code window, smartphone app mockup, confident developer portrait, strong orange highlight shape. Add big crisp readable text exactly: BUILD APP. Add small badge exactly: 2026. No other text. High contrast, bold typography, clear focal point, 16:9 thumbnail framed in square canvas.",,,Design; YouTube; Coding tutorial; English text; Thumbnail; Reviewed
Design,Design,DSG-05,Podcast cover,Minimal technology podcast cover,2048*2048,true,true,"misspelled English, gibberish text, extra text, tiny text, watermark, logo, clutter, low contrast","Create a square podcast cover art design for a fictional technology show. Premium minimal composition, deep midnight background, subtle waveform sculpture, cyan and silver accent light, clean sans-serif typography. Add crisp readable title exactly: QUIET SIGNAL. Add smaller host line exactly: with Mira Chen. No other text. Must remain readable at small size.",,,Design; Podcast cover; English text; Audio; Minimal; Reviewed
Design,Design,DSG-06,Podcast cover,Chinese design podcast cover,2048*2048,true,true,"misspelled Chinese, gibberish text, extra text, tiny text, watermark, logo, clutter, low contrast","Create a square podcast cover for a Chinese design podcast. Warm paper texture, abstract chair silhouette, microphone line art, refined editorial layout. Add crisp readable Chinese title exactly: 设计夜谈. Add smaller subtitle exactly: Design Talks. No other text. Elegant, readable at small size, high contrast typography.",,,Design; Podcast cover; Chinese text; Audio; Editorial; Reviewed
Design,Design,DSG-07,Web3 social avatar,Cyberpunk PFP avatar,2048*2048,true,true,"text, letters, watermark, logo, distorted face, extra eyes, broken glasses, low quality, ugly composition","Create a Web3 social profile avatar for a fictional community. Square PFP, centered stylized 3D character bust, diverse young woman with chrome visor, holographic jacket, neon teal and magenta rim light, simple geometric background, collectible avatar style with clean silhouette. No text, no logos, no watermark. Must work as a small circular profile picture.",,,Design; Web3; PFP; Avatar; Social identity; No text; Reviewed
Design,Design,DSG-08,Web3 social avatar,Generative trait avatar set,2048*2048,true,true,"text, letters, watermark, logo, distorted faces, extra eyes, inconsistent style, low quality","Create a square Web3 avatar collection preview with four original PFP characters in a 2 by 2 grid, same illustration style, each with different traits: robotic headphones, pixel halo, neon jacket, crystal glasses. Clean backgrounds, strong silhouettes, consistent lighting, no text, no logos, no watermark. Professional collectible social avatar showcase.",,,Design; Web3; PFP; Trait system; Avatar; No text; Reviewed
Design,Design,DSG-09,K-pop support screen,Idol birthday LED billboard,2048*2048,true,true,"misspelled English, gibberish text, extra text, watermark, real idol, real group logo, distorted face, low contrast","Create a K-pop fan support LED billboard design for a fictional idol, not a real person. Wide stage screen layout inside square canvas, glamorous portrait of an original idol, pink and silver light beams, floating hearts, concert LED texture. Add crisp readable text exactly: HAPPY LINA DAY. Add smaller text exactly: FAN SUPPORT. No other text. Premium arena-screen design.",,,Design; K-pop; Fan support; LED billboard; English text; Reviewed
Design,Design,DSG-10,K-pop support screen,Comeback cheering screen,2048*2048,true,true,"misspelled English, gibberish text, extra text, watermark, real idol, real group logo, distorted face, low contrast","Create a K-pop comeback cheering screen for a fictional performer. Giant outdoor LED display mockup at night, purple laser background, original idol silhouette, lightstick glow, dynamic stage typography. Add crisp readable headline exactly: STAGE QUEEN. Add smaller line exactly: COMEBACK NIGHT. No other text. Bold, readable from distance, polished fan-campaign aesthetic.",,,Design; K-pop; Fan support; LED screen; English text; Reviewed
